FileName;Group;Genotype;Infection;ShortName
GSM1083361_1-WT_PBS_Mouse430_2_.CEL;WT.U;WT;U;WT.U.1
GSM1083362_2-WT_PBS_Mouse430_2_.CEL;WT.U;WT;U;WT.U.2
GSM1083363_3-WT_PBS_Mouse430_2_.CEL;WT.U;WT;U;WT.U.3
GSM1083364_4-KO_PBS_Mouse430_2_.CEL;KO.U;KO;U;KO.U.1
GSM1083365_5-KO_PBS_Mouse430_2_.CEL;KO.U;KO;U;KO.U.2
GSM1083366_6-KO_PBS_Mouse430_2_.CEL;KO.U;KO;U;KO.U.3
GSM1083367_7-WT_VSV_Mouse430_2_.CEL;WT.I;WT;I;WT.I.1
GSM1083368_8-WT_VSV_Mouse430_2_.CEL;WT.I;WT;I;WT.I.2
GSM1083369_9-WT_VSV_Mouse430_2_.CEL;WT.I;WT;I;WT.I.3
GSM1083370_10-KO_VSV_Mouse430_2_.CEL;KO.I;KO;I;KO.I.1
GSM1083371_11-KO_VSV_Mouse430_2_.CEL;KO.I;KO;I;KO.I.2
GSM1083372_12-KO_VSV_Mouse430_2_.CEL;KO.I;KO;I;KO.I.3
