"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"Nhsl2",6.51866023177166,5.83835534062412,6.0270855484542,5.49100803525944,6.07152055299661,5.78583696726754,6.34627554590786,6.22688579631493,7.16514966760989,6.76029760777953,6.70790830132427,7.18653867087902
"Gbp6",7.60681198870443,6.13799627599252,6.49447854826259,6.24572230996346,6.36784002743944,6.30316074076262,9.9956808384299,9.77808805352114,9.34725627518131,8.41797350494639,8.92742022418413,8.7222064805689
"AW112010",7.15159565118968,7.09879293982678,6.70527176315452,6.81395257623109,7.03502609758529,6.78971998322089,8.59788030039504,8.60786967085828,8.1668480821265,7.49533073487184,7.85688448523367,7.50111837454833
"Gimap4",4.76296544769211,4.58110195757739,4.38649369651602,4.14418550251365,4.28119846032461,4.47169243907986,6.36298152712506,5.88889421531554,5.79453244380774,5.13748557852333,5.09379503458151,4.84869133898184
"Epsti1",5.09522444730239,4.89594080591629,4.98621253874432,4.90503433838888,5.12372543047192,4.8472292902399,7.25980863077446,6.72878989149756,6.59021444883204,5.44080660431354,5.55915833713833,5.72151688733711
"B2m",10.927722982755,11.0455720285493,10.9165832778292,11.1322184350335,10.8249030309472,10.9000128499877,12.4040325942508,12.2487839099752,12.3006125460444,12.0906506784704,12.1572072192043,12.1373728083436
"Cd38",4.6252323262721,4.33305662854551,5.24088091752558,5.0043893928032,5.38143596642875,5.35931185496817,5.22779611470273,5.26079143716273,4.9299261606509,4.61781690925445,4.68246760157774,4.44836795074389
"Cd44",7.22682141257372,6.84833969777636,7.24566181126251,6.86040107243057,7.31102113342161,7.22977686734481,7.90766548743528,7.77691958631972,8.90408053484145,7.48211729430183,7.69437257632581,7.43973399151944
"Cd69",3.08361408847941,3.3041839546567,3.14677000265021,3.26798169066907,3.16536871234556,3.19302067814123,4.36268462066477,4.38048887054913,3.96925851588885,3.32075754489357,3.51773954856822,3.24087295735802
"Cd86",5.15548181162277,4.95563967370023,5.04513896807428,4.87002794675364,5.12336697128981,5.00499700412981,6.21827922508345,6.0319976374288,6.06765583870298,5.24956265847451,5.39421790952009,5.30455306719926
"Cebpd",7.28048221938624,7.20430650914458,7.30148565483649,7.10416193160161,7.35670322841346,7.29865113879321,8.55855081111236,8.40664789071793,8.59576904325912,8.15492402774284,8.25010316671971,7.85220152080092
"Ch25h",5.71460401252435,5.57714305061265,5.4112677108466,5.29357234572522,5.24415973963745,5.53230735359516,7.19726480246684,6.94462370557889,7.09445982994726,6.24357373872512,6.22762388445676,6.29205262774546
"Socs3",5.39572830426311,4.78477857456511,5.15198640219822,4.90359925064779,5.16770775314666,5.25080917854473,6.95684955920392,6.77825216238522,8.03942203395832,5.6394695712828,5.96571701414399,5.65292017405512
"Ccr5",6.53293798969508,5.84124633322902,6.58862436365213,6.40126082048842,6.39913831339645,6.32067698426499,7.6197061115441,7.30987722295846,7.58426137753049,6.6924207035436,6.95140420445093,6.89099210491349
"Ctsc",8.0315918733271,8.15342878216066,8.08686198179785,8.65259388226008,8.44989128261821,8.30913395468047,9.35924264557638,9.18333135558471,9.17150522741965,8.76541477958943,9.12275259851132,8.95593213038967
"Cybb",5.17593131181973,5.36594411714364,5.05832296134224,4.95262500907241,4.93102236486207,5.5166436730132,6.72403201106533,6.76467104853485,6.65897642695657,5.86440992051735,6.08447002049275,5.95792096845716
"Egr2",6.66685792396667,7.04616764449928,6.9378349092746,6.30473667000124,5.71364099054337,5.87721962780759,6.1294169257029,6.52280832242727,6.61401244690447,6.88547380538487,7.09010668466427,6.00466329435819
"Fcgr1",6.23448213883384,6.01870835928173,5.93929400259842,6.20120451379006,5.82868530601428,6.05474371200714,8.14769653057132,7.51100114101066,7.82195361924886,6.6056401542997,6.80717961862325,6.85622999303171
"Fcgr2b",6.57011086888108,5.95833016410356,6.42795894793898,6.49453768716293,6.461301753078,6.54531767688597,8.1874886055892,7.61733389458399,7.9211776265894,7.04450056047289,7.26209055637381,7.19109249252266
"Fgl2",5.7657523255303,5.0632933209453,5.2383828249926,5.11723306438007,5.55641003032636,5.56750341038634,7.02954610007994,6.91503575650652,7.04999321900819,5.96600096789835,6.20176327761877,5.80597608756831
"Fshb",4.99276105014901,4.3979743722691,5.05812667632085,4.34665228288158,4.37992535246911,3.95422104163528,4.03137798172492,3.81930067347578,4.21559217165212,4.63719426161911,5.51294556414245,4.39520822098973
"Gbp2",7.13260632710243,6.03799829224771,6.10783690085315,6.28674965877002,6.17226168756817,6.19056070895931,9.99670436980968,9.81556053182666,9.92017417916539,7.94596771234075,8.51817526323148,8.12428384363256
"Tsc22d3",8.63818230266827,9.2605196067721,9.34779856692391,9.71828631064625,9.84546844469674,9.56790510723384,10.3241602489002,10.0348778872409,9.47734783551529,9.23697595379564,9.40450159404292,9.83005946486308
"Gja1",5.79031973108351,6.54282609698928,7.11524293845331,6.90138043837776,7.45106837925188,7.13143540236822,7.22988513261805,7.07365860022536,6.57314473647663,6.4283833234663,6.37551855587134,6.52513680382044
"Gzma",5.48813584701131,5.29842698792721,4.99284287278542,5.71017598518355,5.20129084753697,5.1729399217865,7.87809647814835,7.35161045030199,7.15860652056714,6.18749633047167,6.82316277963974,6.32594171920694
"Gzmb",4.98658913471017,4.77523317855751,5.05182645226347,4.64078665289337,5.04090443108339,4.73580311934297,8.78290226484014,8.15699293316271,8.16651733447417,5.69130167962713,6.13120769605483,6.40390792710001
"H2-Aa",7.70554597163603,6.68523013756763,7.05702671048581,6.73286628674353,6.65285879395175,6.98925941620473,8.40554122538009,8.37786716905519,8.13987362273257,7.77033014528752,7.82516508178251,7.51907332659515
"H2-D1",9.50550714791992,9.56133920404164,9.65735732863978,9.47243365227311,9.48256223703271,9.52614600194829,11.1604606432842,10.8359796370016,10.8429396768763,10.5477640286209,10.731012032903,10.6418379697121
"H2-K1",9.18026176061323,9.26736209626062,9.1511845373666,9.27992776006661,9.08962911190691,9.09675016658854,11.0281302125362,10.8299781179034,10.7282799535828,10.5712344998888,10.7090541151867,10.6307807617434
"Hck",5.82700131290615,5.70094130166192,5.45006984278428,5.46726285690998,5.5346777665063,5.54920716047627,7.08277300808385,6.7054384994823,6.8370040730631,6.0193073682504,6.33240162330988,6.35658145542132
"Irf8",6.28831198925153,5.76788126777731,6.46456047981632,5.96725134511385,6.07808037276278,6.19085663935405,7.47527912730149,7.13058350025301,7.2837381170096,6.61516748919508,6.65509604192217,6.87073462116514
"Irgm1",8.38361123348041,7.93007264695212,7.9577056479386,7.85200395977196,7.96924453420423,7.58712063542574,10.510482170435,10.0240525456587,10.131892910551,9.18295628188351,9.45154910191258,9.2852710940055
"Cxcl10",5.97009014781408,5.42062605274193,5.6392458970369,4.98159899275316,5.38502830834255,4.98584992063231,10.5558309195402,10.3164971828434,10.4904890944478,8.12177099445494,8.41447663056189,8.36009181289822
