"","WT.U.1","WT.U.2","WT.U.3","KO.U.1","KO.U.2","KO.U.3","WT.I.1","WT.I.2","WT.I.3","KO.I.1","KO.I.2","KO.I.3"
"1457162_at",5.430389270986,5.48828249555866,5.25240073048048,5.52073321593285,5.24390831212973,5.1396582526727,5.60476871806952,4.9854673834701,5.1571396330376,5.30413857810369,5.21065631652386,5.11481434300057
"1432675_at",4.81120823258158,4.84844758262818,4.73944602419493,4.66266222494485,4.78811884699603,4.40984445586665,4.6675549137335,4.77659398928785,4.7609138168575,4.43511520553395,4.82140667539067,4.49084992589946
"1436530_at",6.72403004830366,6.4782148900242,6.46734651212434,6.13354461526777,6.28873693375181,6.12670969402938,7.19242388113916,6.75744082583399,6.8674912574873,6.37533487682429,6.42854379511368,6.39694252802231
"1429231_at",5.33990174989968,4.68883566163813,5.57863024770056,5.01132945606459,5.33063863637591,5.25587437275261,5.23154069968962,4.95707211527327,5.37152250827144,5.41566567227494,5.23154069968962,5.49757535858719
"1428670_at",5.55764415341429,5.79189274468148,5.28700248734861,5.54454098877808,5.61644951110303,5.93133194327164,5.53828266683632,5.69073568952082,5.77226013487961,5.82351714323413,6.11717196935839,6.0789400595254
"1449373_at",6.27342678150404,6.17759116038228,6.3109856682652,6.13437890298161,6.20838366692943,6.33026017973442,6.63989054864173,6.6667422500272,6.47807493209927,6.2197017075408,6.48136113330163,6.45495290640922
"1444118_at",4.11494906222429,4.37020069806746,4.37161402593481,4.44395748216825,4.1989030670497,4.3051320669247,4.20095529974595,4.10541275742358,4.05011380256723,4.05719442430358,4.14828679161189,3.85868466304489
"1442020_at",4.30507423755604,4.0697850619212,4.06229616378187,4.06085318800883,3.97541552043428,4.03589438289399,4.33319138054724,3.97442859299703,3.89476966408,4.10881158611222,4.26470890076378,4.20086424355268
"1456221_at",5.04738428202391,4.83807333123901,4.70497084502408,4.86682198411238,5.03896181261046,4.7707786453262,4.99063177823974,4.9972968477591,5.07206545430701,4.74185071746312,4.93733809586066,4.81245132997011
"1457616_at",5.36164180292696,4.68222376301722,4.86371785504204,4.81444172797456,4.98173517337625,5.03956797155076,5.12081878647903,4.80366429607127,4.95156722111653,4.90219160032467,5.14997704711202,4.9060209120082
"1446929_at",7.06566125775302,7.09992586607399,7.1152282743244,7.01628306804886,6.86639845454872,7.06035907000726,6.74297341629233,7.00857750925355,6.85814633624854,6.83705160463807,6.80071267682826,6.86871201294245
"1445725_at",6.82281591080832,6.72380448957698,7.06282428934872,6.57360065585439,7.10452510509973,7.11774374816175,7.02950953004091,7.04625119821792,6.81107047181288,6.8615445242662,6.92037171182855,6.9253088040178
"1439668_at",5.74181036758326,5.3059327587682,5.52891580914779,5.17564186385837,5.53679735178555,5.68780665972788,5.55080771172276,5.00293912444019,5.47574828651085,5.76194984665653,5.40180160769616,5.76936854632383
"1444174_at",6.18093795804599,6.11959264388575,6.28092709330195,6.02564871324814,5.92874535303109,6.02094231948547,6.21071016932733,6.12763163724597,6.26314084934578,5.92526967256374,6.13851375774982,5.87742878797122
"1426168_a_at",5.13711568615543,5.12048362798128,5.43309191862257,5.20121352541723,5.20343504741083,5.18124927765004,5.85555282240763,5.41041337863632,5.53443698282485,5.48907041736029,5.4394779285264,5.48310714949343
"1457324_at",9.3127240546638,9.42170649344778,9.5437807382928,8.65259388226009,9.12940597158418,9.30950964565323,9.41631442989267,9.50873162090362,9.21524495582568,8.82132435598811,9.19385974109124,9.62004891700925
"1453616_at",4.94989747056567,4.94387305742912,4.7810174126545,4.96041852534214,5.02233366850112,5.08151021990384,4.77996219471853,5.05156314235789,4.72911975340114,5.23186537075527,4.96901963994363,4.92120822285064
"1456418_at",8.94794134478962,8.97982285095182,8.76546829152973,8.88152677072574,8.69107101026517,8.75476960348774,8.91665134736687,8.98041557884872,8.72923300049655,8.62882168093801,8.74513042170889,8.68085365850057
"1440097_at",8.26880584668388,8.09401472330295,8.19209019759656,8.09830385100206,8.25750198929429,8.15745447619809,7.88425165696372,7.93734775741107,7.97312434098363,8.2101864767206,8.24728228946038,8.16076936091572
"1435585_at",5.17817012375017,4.83861208621937,5.35967061548198,5.09438524303541,5.30203285975546,4.91890794568136,5.36798169671459,5.45311049571909,5.36010719233571,5.13252533979711,5.19768007803931,5.3128362718607
"1457668_x_at",4.93641518503383,5.31882009176188,5.21950129057325,5.86161408141616,5.16977189787731,5.40656896366922,4.90844858440243,5.12163113074813,5.47831976003775,5.27460476672481,5.16447160140297,5.55729090858706
"1457869_at",5.11915829604738,5.22455201204902,5.10683419191331,4.85583997977121,5.46759962868991,5.12567578841947,5.39421790952009,5.06961061878217,5.05171368590736,5.10701056258072,4.84705480302639,4.89268243020426
"1457283_at",4.74134084670796,4.86797320608849,5.09288041658413,5.2514440708994,5.24102911852382,5.09095124305285,5.01408471230289,5.04573284100611,5.06367295057396,4.99159319057459,4.7638531537965,4.93321082140311
"1427461_at",6.68964895253198,6.91408488685623,7.359134176557,6.89776029425692,7.26798579078381,7.14349147801764,7.14751343188709,7.08275742094958,7.29098917853435,7.4500007536063,7.55268931552057,7.33526657713005
"1459905_at",5.36484816582478,5.91376375501682,5.6417777399337,5.54263574252608,5.31585987980504,5.61964015414053,5.48789986351145,5.48195045431629,5.43810513270935,5.64031449399177,5.39612078735976,5.35422442179389
"1429510_at",5.97422120269138,5.91953345948765,5.78133893235231,6.17344924761021,6.04064337204947,6.04322789063869,5.66711075603746,5.9166206990641,5.96669569323591,5.80677631284138,5.85587624344067,6.0606997558649
"1444014_at",5.24831711395193,5.23609495113271,4.97872534218678,4.93378936148826,5.06991487665589,5.0601685602253,5.1177547242378,4.95918331254272,5.20139827046654,5.16327235107569,5.00917042103246,5.2147670033384
"1438732_at",6.51866023177166,5.83835534062412,6.0270855484542,5.49100803525944,6.07152055299661,5.78583696726754,6.34627554590786,6.22688579631493,7.16514966760989,6.76029760777953,6.70790830132427,7.18653867087902
"1457015_at",8.3667496469073,8.13141947258674,8.12331178411953,8.12524453484681,8.28703211608146,8.04929530151481,8.22063209837973,8.32782268615787,8.38724460494227,8.41107992909616,8.30529653085058,8.37494752566828
"1442593_at",5.87108898548492,5.66393764405661,6.00290378513463,6.02790956717384,6.07130692283222,6.23698126195491,6.05819082889464,6.29170479667157,5.54453451758579,5.97715787996726,6.06556155341736,5.8448307429727
"1456889_at",4.93279716512998,4.41797338810102,4.64135234866092,4.69001022862948,5.01677623193195,4.883251239952,4.79673056102391,5.02038965477566,4.77617887912856,4.76517187415242,4.69993225926263,4.93892807664486
"1458949_at",6.5827565946491,6.35456913400842,6.78371832772289,6.38351262956472,6.74096107604765,6.42343409767069,6.25736634597576,6.54004078156703,7.04655319197872,6.97961357900738,7.14786318382528,7.05783821752908
"1453198_at",7.68211310938776,7.24330050835848,7.3984683660408,7.58506233766952,7.51873383949546,7.43021340410177,7.39043012889596,7.36244704058157,7.6803943619115,7.76474087408459,7.81756304531131,7.79088417638505
"1430137_at",6.33984806040134,6.16297915565078,6.4635849824785,5.92251309639343,6.37014921898068,6.37822714962852,6.30699519743034,6.10279998488164,5.99836425033227,6.17391912874603,6.30263253418498,6.47162999976812
"1457718_at",7.87506633464678,7.99122762135287,8.02328749897871,8.0863398445818,7.88910361650692,7.92361065918225,7.74716327385265,7.68951601580288,7.67314418551987,7.70720622418809,7.70312512265881,7.82942235259127
